Subject,Sleep,State,Congruency,Slope
035,SD,Drowsy,Incongruent,2.03904920291258
037,SD,Drowsy,Incongruent,2.27236298789695
038,SD,Drowsy,Incongruent,1.14817343196121
039,SD,Drowsy,Incongruent,0.913205274028218
040,SD,Drowsy,Incongruent,0.654608579760373
041,SD,Drowsy,Incongruent,4.77643081023246
042,SD,Drowsy,Incongruent,1.18450235683167
050,SD,Drowsy,Incongruent,0.144775871049653
051,SD,Drowsy,Incongruent,3.17959109595634
052,SD,Drowsy,Incongruent,5.69917282088674
